filename,folder,extension,size(bytes),absolute_path,modification_time,md5_checksum,sha256_checksum
animals.csv,networked-services-labs-main\data\animal-counts,.csv,155,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\animal-counts\animals.csv,2022-10-05T10:51:02,c2ed3b02105dd0081eac853bdf2edf9f,6a9e24d8d7d1597516fd37309992f794b851d2403a668ac1a321194429e7ed11
mbox-short.txt,networked-services-labs-main\data\emails,.txt,94625,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\emails\mbox-short.txt,2022-10-05T10:51:02,b30c720633214d72186ccfdee629ea58,b744e09af7865f273d1a648d03d8a9603de6ff0728ca3985636d7fcdc9bafdac
08-12-1997-items.xls,networked-services-labs-main\data\filenames-with-american-dates,.xls,25600,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\filenames-with-american-dates\08-12-1997-items.xls,2022-10-05T10:51:02,9eed152f17df51ce627bba4ace26ed6a,2d9fbcdd272d2aaa7693855e7401abf20fedee1318f3316cd6044b0fc74e4550
08-12-1997-items.xlsx,networked-services-labs-main\data\filenames-with-american-dates,.xlsx,8844,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\filenames-with-american-dates\08-12-1997-items.xlsx,2022-10-05T10:51:02,ed7237c18fc5f0219a5ea4e6e515ad87,00f7d37ab2567753a7463f62fc117b67617ec09938ef36587bbcefc8274e0b92
books-on-shelves12-3-2002.txt,networked-services-labs-main\data\filenames-with-american-dates,.txt,66,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\filenames-with-american-dates\books-on-shelves12-3-2002.txt,2022-10-05T10:51:03,4a7d7224626c241e188c85a5072c9a7e,d88753e626ed68d625833521f549b2d3f2ab1b4cbc0df64b5fe28bb4b85e7f37
diary-04-23-19.doc,networked-services-labs-main\data\filenames-with-american-dates,.doc,22528,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\filenames-with-american-dates\diary-04-23-19.doc,2022-10-05T10:51:03,2051bff468973af520ee2d603961bbf9,ecfb19bcc3c05513680f6060f1a0864aac428f38dcdcedc6fbf7f65e7fa50b2e
diary-04-23-20.docx,networked-services-labs-main\data\filenames-with-american-dates,.docx,12070,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\filenames-with-american-dates\diary-04-23-20.docx,2022-10-05T10:51:03,a0d898c9eb87b9369459add1248e1a5a,67d1da40d5dcb38d5e9d8def88c6ccbfbf8433f32a5be66a05278b098f533d3e
observations-03-30-2018.csv,networked-services-labs-main\data\filenames-with-american-dates,.csv,43,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\filenames-with-american-dates\observations-03-30-2018.csv,2022-10-05T10:51:03,2c463d4c553bae473458bc85268b91fc,67aa28340dc80e29f7f58e72cfc3ab386c044ea2e9fad66e1c26b2539b3717d0
sightings-202203.jpg,networked-services-labs-main\data\filenames-with-american-dates,.jpg,57527,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\filenames-with-american-dates\sightings-202203.jpg,2022-10-05T10:51:03,4be180ad9340536ed320a0761c2634a9,5efe19fbaa24934bd151502c06bde08d10d0b915ae432ac01deffeab8e332f7c
html-with-script.html,networked-services-labs-main\data\html-exercise,.html,1398,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\html-exercise\html-with-script.html,2022-10-05T10:51:03,ac8369049a6253ee1e4c21ef7bf3a22d,bd25a58bf5a41dfa8104de3fc1da52f4851d2fb76fd19a5760dff637c28b2013
script.js,networked-services-labs-main\data\html-exercise,.js,222,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\html-exercise\script.js,2022-10-05T10:51:03,d4b267d6618ada33db659d8f318780a5,b020324403c7087f8293bc4c7e4150363a55643371d2cefa04b1748f54574770
style.css,networked-services-labs-main\data\html-exercise,.css,138,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\html-exercise\style.css,2022-10-05T10:51:03,b80e739a8a0bcdda9f98a5aa04e67267,9a07066bfe539907ba85ccdc928a3b5e9dc46b20314622bd3204e5fc12df6b04
cubane.pdb,networked-services-labs-main\data\proteins,.pdb,1158,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\proteins\cubane.pdb,2022-10-05T10:51:03,d7d220994b77d095da30234cba4f0b0e,b6e6fb08fe9e0b8d0b3ba689f09ee0cc31e945e838b07be895aa6540abaa70f5
ethane.pdb,networked-services-labs-main\data\proteins,.pdb,622,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\proteins\ethane.pdb,2022-10-05T10:51:03,2b700e5737c3da95f0c248d8359d6977,2d0af7ad07346b709bdefb5a9183d93dc8f608785cffd01b8ea42826a781516b
methane.pdb,networked-services-labs-main\data\proteins,.pdb,422,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\proteins\methane.pdb,2022-10-05T10:51:03,78c26ba78148af3f498dc75bbe475e1c,5291e24fd0c4e28eb9b1452162229b3e6987a79481f642024c6aa1064f5082b3
octane.pdb,networked-services-labs-main\data\proteins,.pdb,1828,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\proteins\octane.pdb,2022-10-05T10:51:03,a4098ac9c263b75cc001c3305b7fb00d,3788ffe96f4e2dfd6be11ca3028f0a18ca2c01c1eba4102aa0538f4e75aac40f
pentane.pdb,networked-services-labs-main\data\proteins,.pdb,1226,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\proteins\pentane.pdb,2022-10-05T10:51:03,25237517df5771196a39b987a6969d77,d9ad588da557c137307d2085a23e21edc45a925d99c7ba7a0761096221e0530d
propane.pdb,networked-services-labs-main\data\proteins,.pdb,825,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\proteins\propane.pdb,2022-10-05T10:51:03,61fcf1cc70920070f208b7d2714f800c,fa10d78671c38e07ae8347d639e171c20fc90ea290d013c84931ddda2ebea294
2014-01-31_JA-africa.tsv,networked-services-labs-main\data\shell-tests,.tsv,3773660,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\shell-tests\2014-01-31_JA-africa.tsv,2022-10-05T10:51:03,7bf627c61206e593714fb43b49997261,12f69a90589e04dfd83f10b975f90e5ac577c1ae6a52eefb2f7af91794032678
2014-01-31_JA-america.tsv,networked-services-labs-main\data\shell-tests,.tsv,7731914,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\shell-tests\2014-01-31_JA-america.tsv,2022-10-05T10:51:03,c77ed0104498a43fc8dc86667825c156,b4c735efc0a0c48f68675f9d5a7fd3f9b0968a23c06bd7b3bff59e618f6cb7c1
2014-02-02_JA-britain.tsv,networked-services-labs-main\data\shell-tests,.tsv,1453418,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\shell-tests\2014-02-02_JA-britain.tsv,2022-10-05T10:51:03,a83e9a6514b01567b2cf861d6a00acea,7ebe69dc38d60e50980fcbd01bc5910a611e6850a879067097c5fc74cd252776
201403160_01_text.json,networked-services-labs-main\data\shell-tests,.json,392407,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\shell-tests\201403160_01_text.json,2022-10-05T10:51:03,4f00f6738afd560519a6cf41756228cc,ddec5c528333c1ae75354898d3baf061e5c3d2dcc4da6aac75ca779913b46d3e
33504-0.txt,networked-services-labs-main\data\shell-tests,.txt,586635,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\shell-tests\33504-0.txt,2022-10-05T10:51:03,8dbc442349ab803233675ceba13f5a95,9a79020777b51d59898efad728c75ccfe63d357197a0855fbe2ff7e9105022f0
829-0.txt,networked-services-labs-main\data\shell-tests,.txt,602147,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\shell-tests\829-0.txt,2022-10-05T10:51:03,cf3f6ce27978e65233025af7f876ffdb,1e9e6adeaef08cb43658ccbaf30301ee3a0f7955d33e495b36fe588860962e06
diary.html,networked-services-labs-main\data\shell-tests,.html,18417,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\shell-tests\diary.html,2022-10-05T10:51:03,f4c84f039ae0079764ee73b7d0401b85,9c032456cba7fb29993d70d4cdaf053323f7974e488ebaaf4e26f0f2639ef069
pg514.txt,networked-services-labs-main\data\shell-tests,.txt,1032418,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\shell-tests\pg514.txt,2022-10-05T10:51:03,586511c9a49eb98e54b189b1dd4822ab,5638f6bd84a0646b6b0e7f53f3a50a2c755356f88da7c7c17b1b7cdb1103b582
web-files-small-metadata.csv,networked-services-labs-main\data\webfiles-samples,.csv,9069,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\web-files-small-metadata.csv,2022-10-05T10:51:04,8b82804b255dbc9e049857ddce66aaf2,252d1472474fbbb65af2a585fa26e8e84a786deb31010896e74c8d3052c73b1d
000727.ram,networked-services-labs-main\data\webfiles-samples\audio,.ram,79,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\audio\000727.ram,2022-10-05T10:51:04,807f4a33e2198c1dd629c8902c37c535,d231f5779e4ec9604db2fb99ac92510b7d8263e471b2d636b4a39e8915802500
11-3250JohnsonvFolinoEtAl.wma,networked-services-labs-main\data\webfiles-samples\audio,.wma,21423499,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\audio\11-3250JohnsonvFolinoEtAl.wma,2022-10-05T10:51:04,0822287ef2af6e97ead980c771bb8f97,2e90f5615ad4eaf273c1dfa9c4631e14a39da7f5a9a09edc5467b14f19dacd41
mj_telework_exchange_final_100710.mp3,networked-services-labs-main\data\webfiles-samples\audio,.mp3,3471488,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\audio\mj_telework_exchange_final_100710.mp3,2022-10-05T10:51:04,0253b2c7820143b28f4b1febaece205d,8c276e00edc5e771559fc0970fdc688ace0c9f127d4ab4e6a4652acb705ff160
NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3,networked-services-labs-main\data\webfiles-samples\audio,.mp3,961195,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\audio\NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3,2022-10-05T10:51:04,ad49bb75ecd85c86d8d4a2b418ce83cf,5d523832cd29efe1971bf88a1e9698021dda828547c1d774301424060eb10730
1005107061.tif,networked-services-labs-main\data\webfiles-samples\image,.tif,395734,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\image\1005107061.tif,2022-10-05T10:51:04,71a29e5cb072bd100d945298e78abde5,0883ce4870bc5f0c8336bb2f586f3bfcc4de28c3179215ac2b8d0bfc00238186
13080t.jpg,networked-services-labs-main\data\webfiles-samples\image,.jpg,3764,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\image\13080t.jpg,2022-10-05T10:51:04,761b75f922ba4d5336c686d64762bd9d,2a1775e5a1f88757193050322f243ba4f7df36c6d0b5a222ca959eae22d3f0b9
k7989-7x.jpg,networked-services-labs-main\data\webfiles-samples\image,.jpg,7864,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\image\k7989-7x.jpg,2022-10-05T10:51:04,3999ce5979decabcb81adcb969b8249a,28bf7860b92b3086c43b120c25924173c61e5eb228339ec0d4347310e4e79e3a
m237a2f.gif,networked-services-labs-main\data\webfiles-samples\image,.gif,7376,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\image\m237a2f.gif,2022-10-05T10:51:04,1fe4be82b1896108055b183c384c1f07,a8c6266b14131160618ddc3e6d9057f8fc2c8cff077816323ebd1f0f34f5ca27
orca.via_.moc_.noaa_.jpg,networked-services-labs-main\data\webfiles-samples\image,.jpg,82546,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\image\orca.via_.moc_.noaa_.jpg,2022-10-05T10:51:04,8dcb7f9f0b452054e79b0d3d6736d782,7d10518c4e8a65ad723d4b011623efda15918fe20a183c7b5ef8f2d5b0146477
01-1480.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,49088,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\01-1480.pdf,2022-10-05T10:51:04,01c8ed0f4635e7974734087ffec0087d,a9b5603c9cdb8e9b5d362758dc1e0b3c10bb250fade691d58e3bc2467dfa9020
Chapter03.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,51919,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\Chapter03.pdf,2022-10-05T10:51:04,b4c4ac3b610fc0057ef57acaace0c78a,69781aa7568c6dd54443c11cbc8e3ff4223c36b8d5f1f2adc3d387b4cae05694
file.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,1538,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\file.pdf,2022-10-05T10:51:04,b76bb219e68469283095b12a0b6aef2c,aa3749f994f8869e3d982514ea4dd17e08812feb40e70c03b7e6b8503f802e69
HR2021 commtext.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,36305,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\HR2021 commtext.pdf,2022-10-05T10:51:04,1de98a2344bec62c650f8adb4b8f33e0,ac4f23b0e41544f9d9387730d6aef9c0f1f9668343d6eeddb02734b3b8285b01
PFCHEJ.pdf,networked-services-labs-main\data\webfiles-samples\pdf,.pdf,10577,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\pdf\PFCHEJ.pdf,2022-10-05T10:51:04,fec5b4c417432aa2de0a482186f3d9d5,d38d370486dda2eb8a5c677c5d2e5d8d174301e30011776ea2689a2270f81f87
ADAEMPLOYMENTTaxIncentives.ppt,networked-services-labs-main\data\webfiles-samples\presentation,.ppt,137216,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\presentation\ADAEMPLOYMENTTaxIncentives.ppt,2022-10-05T10:51:04,f614356ebb35fa76d482709372237bd5,9b6b74447622ac1646a538e63e452569e111cf775d1244373678d947405e33be
BudgetandGrants012710.ppt,networked-services-labs-main\data\webfiles-samples\presentation,.ppt,85504,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\presentation\BudgetandGrants012710.ppt,2022-10-05T10:51:04,4080ec664a2b4b14fec1826c42ccc3a3,9d447bf8b8ecbb659b965d005abb40d18555aea98d414c6c44b4fc1bfaedbcab
Non-FTE-Trainee-Activities-060109.ppt,networked-services-labs-main\data\webfiles-samples\presentation,.ppt,67072,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\presentation\Non-FTE-Trainee-Activities-060109.ppt,2022-10-05T10:51:05,e71a83494f2565ee5168b7dc3d4de306,351b47d6681660cff330ab253902f92a638a5fb8e4ba3a39dfb2fc4b27778a70
04-04-21full.asf,networked-services-labs-main\data\webfiles-samples\video,.asf,98,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\video\04-04-21full.asf,2022-10-05T10:51:05,26888193625f2011edcea74b12d1b8bb,17c4b403484e859691f9dab8e7856be9cf71ff1aed2a0d73ea8006a1cf897c2d
glmp_cig.EQ.wm.p20.t12z,networked-services-labs-main\data\webfiles-samples\video,.t12z,8296,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\video\glmp_cig.EQ.wm.p20.t12z,2022-10-05T10:51:05,4b176dbcf901676ab7c9cd8e739d1b3b,15e3cb0ece2659d0df2047e2676573c4b6c5b829a55b852619df82362a586ae8
oct17cc.asx,networked-services-labs-main\data\webfiles-samples\video,.asx,106945,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\video\oct17cc.asx,2022-10-05T10:51:05,50727117109742107c6bef3e31ff1690,8f2b35c165fd754fe0d0f1f91c82da679223a976b2fb064c896e9326af3cfeb2
vlwhcssc.asx,networked-services-labs-main\data\webfiles-samples\video,.asx,356,c:\Users\Abbie\Documents\umich\courses\SI676\Week6\networked-services-labs-main\data\webfiles-samples\video\vlwhcssc.asx,2022-10-05T10:51:05,c4af1d1687ff8f1a2f027bb04eec471b,5684ad9a401c7bd2444805de766d15cd1bd9973cf06c5d11068fb499f92dc77a
